Unnamed: 0,supply_id,parent_id,priority,start_day,end_date,estdur,device_type,battery_type,d_estdur
33,H13825082,H13825078,1,1/3/2022,31/03/2022,33,MUDPUMP,JSU,2.0
34,H13825086,H13825078,1,1/3/2022,31/03/2022,10,DIESEL,LEK,0.5
35,H13825090,H13825078,1,1/3/2022,31/03/2022,33,MUDPUMP,POW|ZSF|NAJ|LEK,1.0
36,H13825094,H13825078,1,1/3/2022,31/03/2022,69,DRILL,NAJ|LEK,1.0
37,H13825098,H13825078,1,1/3/2022,31/03/2022,20,MUDPUMP,POW,0.5
38,H13825102,H13825078,1,1/3/2022,31/03/2022,61,MUDPUMP,ZSF|NAJ,1.0
39,H13825106,H13825078,1,1/3/2022,31/03/2022,11,MUDPUMP,POW|LEK|ZSF|NAJ,1.5
40,H13825110,H13825078,1,1/3/2022,31/03/2022,11,MUDPUMP,JSU|ZSF,0.5
41,H13825114,H13825078,1,1/3/2022,31/03/2022,11,GENERATOR,LEK|ZSF|NAJ|JSU,0.5
42,H13825118,H13825078,1,1/3/2022,31/03/2022,31,MUDPUMP,ZSF|JSU|POW|NAJ,1.5
43,H13825122,H13825078,1,1/3/2022,31/03/2022,13,DRILL,JSU,1.0
44,H13825126,H13825078,1,1/3/2022,31/03/2022,11,DRAWWORK,JSU|NAJ|POW,0.5
45,H13825130,H13825078,1,1/3/2022,31/03/2022,3,DRILL,LEK|POW,0.5
46,H13825134,H13825078,1,1/3/2022,31/03/2022,2,GENERATOR,JSU,1.0
47,H13825138,,1,1/3/2022,31/03/2022,12,DRAWWORK,LEK|ZSF,2.0
48,H13825140,H13825138,1,1/3/2022,31/03/2022,29,DRAWWORK,NAJ|ZSF|JSU,1.5
49,H13825142,H13825138,1,1/3/2022,31/03/2022,22,MUDPUMP,NAJ|LEK|JSU|ZSF,0.5
50,H13825144,H13825138,1,1/3/2022,31/03/2022,19,DRAWWORK,ZSF|LEK,2.0
51,H13825146,H13825138,1,1/3/2022,31/03/2022,11,DRILL,JSU|NAJ|LEK|ZSF,1.0
52,H13825148,H13825138,1,1/3/2022,31/03/2022,38,DRILL,JSU,2.0
53,H13825150,,1,1/3/2022,31/03/2022,28,DRAWWORK,ZSF|JSU,1.5
54,H13825155,H13825150,1,1/3/2022,31/03/2022,69,DIESEL,ZSF|LEK,1.0
55,H13825160,H13825150,1,1/3/2022,31/03/2022,8,DIESEL,JSU,1.0
56,H13825165,H13825150,1,1/3/2022,31/03/2022,13,GENERATOR,ZSF,1.5
57,H13825170,H13825150,1,1/3/2022,31/03/2022,10,DRILL,POW|JSU|NAJ,0.5
58,H13825175,H13825150,1,1/3/2022,31/03/2022,29,DRAWWORK,POW|NAJ,0.5
59,H13825180,H13825150,1,1/3/2022,31/03/2022,12,DRILL,LEK|JSU,1.0
60,H13825185,H13825150,1,1/3/2022,31/03/2022,33,DIESEL,LEK,1.0
61,H13825190,H13825150,1,1/3/2022,31/03/2022,40,DRILL,POW|JSU,2.0
62,H13825195,H13825150,1,1/3/2022,31/03/2022,28,DRAWWORK,ZSF|LEK|JSU,1.5
63,H13825200,,1,1/3/2022,31/03/2022,10,DIESEL,JSU|LEK,1.0
64,H13825202,H13825200,1,1/3/2022,31/03/2022,32,GENERATOR,LEK|POW|ZSF|JSU,1.0
65,H13825204,H13825200,1,1/3/2022,31/03/2022,10,GENERATOR,NAJ,1.5
66,H13825206,H13825200,1,1/3/2022,31/03/2022,22,DRAWWORK,JSU|ZSF,0.5
67,H13825208,,1,1/3/2022,31/03/2022,30,DIESEL,POW,0.5
68,H13825212,,1,1/3/2022,31/03/2022,40,DRILL,POW,1.0
69,H13825214,,1,1/3/2022,31/03/2022,12,MUDPUMP,LEK|JSU|ZSF|POW,0.5
70,H13825216,H13825214,1,1/3/2022,31/03/2022,33,GENERATOR,LEK,1.0
71,H13825218,H13825214,1,1/3/2022,31/03/2022,51,DIESEL,LEK|JSU,2.0
72,H13825220,H13825214,1,1/3/2022,31/03/2022,21,GENERATOR,POW|JSU|LEK|NAJ,2.0
73,H13825222,H13825214,1,1/3/2022,31/03/2022,20,DRAWWORK,JSU,0.5
74,H13825224,H13825214,1,1/3/2022,31/03/2022,18,DRAWWORK,LEK|POW,1.0
75,H13825226,H13825214,1,1/3/2022,31/03/2022,22,DRAWWORK,ZSF,1.0
76,H13825228,H13825214,1,1/3/2022,31/03/2022,48,DIESEL,POW,0.5
77,H13825230,H13825214,1,1/3/2022,31/03/2022,61,DRAWWORK,LEK|NAJ|ZSF|POW,1.0
78,H13825232,H13825214,1,1/3/2022,31/03/2022,12,GENERATOR,JSU|LEK,1.5
79,H13825234,H13825214,1,1/3/2022,31/03/2022,12,DRAWWORK,LEK|POW|NAJ|ZSF,0.5
80,H13825236,H13825214,1,1/3/2022,31/03/2022,59,MUDPUMP,POW|JSU|ZSF,0.5
81,H13825238,H13825214,1,1/3/2022,31/03/2022,2,GENERATOR,NAJ|POW,1.5
82,H13825240,H13825214,1,1/3/2022,31/03/2022,42,MUDPUMP,JSU|LEK|POW,1.0
83,H13825242,H13825214,1,1/3/2022,31/03/2022,22,MUDPUMP,NAJ|POW,0.5
84,H13825244,H13825214,1,1/3/2022,31/03/2022,13,MUDPUMP,POW|NAJ|LEK,0.5
85,H13825246,H13825214,1,1/3/2022,31/03/2022,48,DIESEL,NAJ|JSU|POW|LEK,1.0
86,H13825250,,1,1/3/2022,31/03/2022,21,GENERATOR,JSU|NAJ|POW,2.0
87,H13825252,H13825250,1,1/3/2022,31/03/2022,13,DIESEL,LEK,1.5
88,H13825254,H13825250,1,1/3/2022,31/03/2022,12,DRILL,ZSF,0.5
89,H13825256,H13825250,1,1/3/2022,31/03/2022,10,GENERATOR,JSU|NAJ|LEK,2.0
90,H13825258,H13825250,1,1/3/2022,31/03/2022,23,DIESEL,JSU|NAJ,0.5
91,H13825260,H13825250,1,1/3/2022,31/03/2022,31,DRAWWORK,POW|LEK|NAJ|JSU,1.0
92,H13825262,H13825250,1,1/3/2022,31/03/2022,13,DRILL,ZSF|NAJ|POW|LEK,2.0
93,H13825264,H13825250,1,1/3/2022,31/03/2022,2,GENERATOR,NAJ|ZSF|JSU,2.0
94,H13825266,H13825250,1,1/3/2022,31/03/2022,63,DRAWWORK,LEK|JSU,0.5
95,H13825268,H13825250,1,1/3/2022,31/03/2022,43,DRAWWORK,ZSF|NAJ|JSU|LEK,1.0
96,H13825270,H13825250,1,1/3/2022,31/03/2022,43,GENERATOR,POW|LEK|JSU,1.0
97,H13825272,H13825250,1,1/3/2022,31/03/2022,30,DIESEL,NAJ|JSU|POW,0.5
98,H13825274,H13825250,1,1/3/2022,31/03/2022,18,GENERATOR,NAJ,1.0
99,H13825276,H13825250,1,1/3/2022,31/03/2022,12,MUDPUMP,NAJ|LEK|POW,1.5
100,H13825278,H13825250,1,1/3/2022,31/03/2022,40,GENERATOR,ZSF,0.5
101,H13825280,H13825250,1,15/03/2022,15/04/2022,61,DRAWWORK,LEK|ZSF|POW,0.5
102,H13825282,H13825250,1,15/03/2022,15/04/2022,11,MUDPUMP,JSU|POW|ZSF,1.5
103,H13825284,H13825250,1,15/03/2022,15/04/2022,12,DIESEL,NAJ|LEK|ZSF|JSU,1.0
104,H13825286,H13825250,1,15/03/2022,15/04/2022,11,DRAWWORK,JSU|NAJ|ZSF,0.5
105,H13825288,H13825250,1,15/03/2022,15/04/2022,20,DRILL,JSU|NAJ|POW,0.5
106,H13825290,H13825250,1,15/03/2022,15/04/2022,9,DRAWWORK,ZSF|NAJ,1.0
107,H13825292,H13825250,1,15/03/2022,15/04/2022,10,DRILL,NAJ|ZSF,2.0
108,H13825294,H13825250,1,15/03/2022,15/04/2022,39,GENERATOR,NAJ,1.5
109,H13825296,H13825250,1,15/03/2022,15/04/2022,10,MUDPUMP,JSU|ZSF|LEK|POW,0.5
110,H13825298,H13825250,1,15/03/2022,15/04/2022,9,GENERATOR,LEK|NAJ|POW,2.0
111,H13825300,H13825250,1,15/03/2022,15/04/2022,41,MUDPUMP,POW|LEK|JSU|ZSF,1.0
112,H13825302,H13825250,1,15/03/2022,15/04/2022,29,DRILL,JSU|POW|NAJ,2.0
113,H13825304,H13825250,1,15/03/2022,15/04/2022,22,DIESEL,LEK|JSU|NAJ|ZSF,1.5
114,H13825306,H13825250,1,15/03/2022,15/04/2022,13,GENERATOR,JSU|ZSF|POW,1.0
115,H13825308,H13825250,1,15/03/2022,15/04/2022,23,DRILL,NAJ|LEK|JSU|ZSF,1.0
116,H13825310,H13825250,1,15/03/2022,15/04/2022,53,GENERATOR,POW|JSU|NAJ,1.5
117,H13825312,H13825250,1,15/03/2022,15/04/2022,11,DRILL,JSU|POW|LEK,0.5
118,H13825314,H13825250,1,15/03/2022,15/04/2022,22,MUDPUMP,LEK|ZSF|NAJ,0.5
119,H13825316,H13825250,1,15/03/2022,15/04/2022,12,MUDPUMP,JSU|LEK|POW|ZSF,1.0
120,H13825318,H13825250,1,15/03/2022,15/04/2022,18,GENERATOR,LEK|POW|NAJ,1.5
121,H13825320,H13825250,1,15/03/2022,15/04/2022,60,GENERATOR,ZSF,0.5
122,H13825322,H13825250,1,15/03/2022,15/04/2022,13,DRAWWORK,NAJ,0.5
123,H13825324,H13825250,1,15/03/2022,15/04/2022,12,MUDPUMP,NAJ|JSU|ZSF,1.5
124,H13825326,H13825250,1,15/03/2022,15/04/2022,28,DIESEL,ZSF|POW|LEK|NAJ,1.0
125,H13825328,H13825250,1,15/03/2022,15/04/2022,11,GENERATOR,JSU|NAJ|POW,0.5
126,H13825330,H13825250,1,15/03/2022,15/04/2022,13,MUDPUMP,ZSF|NAJ|JSU,0.5
127,H13825332,H13825250,1,15/03/2022,15/04/2022,61,DIESEL,LEK|JSU|ZSF,1.0
128,H13825334,H13825250,1,15/03/2022,15/04/2022,51,DIESEL,LEK,2.0
129,H13825336,H13825250,1,15/03/2022,15/04/2022,12,DRAWWORK,ZSF|NAJ|JSU,1.5
130,H13825338,H13825250,1,15/03/2022,15/04/2022,12,DRILL,NAJ|ZSF|JSU,0.5
131,H13825340,H13825250,1,15/03/2022,15/04/2022,28,DRILL,ZSF|NAJ|JSU,2.0
132,H13825342,H13825250,1,15/03/2022,15/04/2022,12,DRAWWORK,JSU|NAJ|LEK,0.5
133,H13825344,H13825250,1,15/03/2022,15/04/2022,22,DIESEL,LEK|POW,1.0
134,H13825346,H13825250,1,15/03/2022,15/04/2022,2,DRAWWORK,JSU|POW|ZSF,2.0
135,H13825348,H13825250,1,15/03/2022,15/04/2022,2,DRILL,ZSF,2.0
136,H13825350,H13825250,1,15/03/2022,15/04/2022,23,DIESEL,POW,0.5
137,H13825352,H13825250,1,15/03/2022,15/04/2022,23,DRILL,JSU|LEK,1.0
138,H13825354,H13825250,1,15/03/2022,15/04/2022,42,MUDPUMP,JSU,1.0
139,H13825356,H13825250,1,15/03/2022,15/04/2022,10,DRILL,NAJ,0.5
140,H13825358,H13825250,1,15/03/2022,15/04/2022,12,DIESEL,JSU|POW,1.0
141,H13825360,H13825250,1,15/03/2022,15/04/2022,21,DRAWWORK,LEK,1.5
142,H13825362,H13825250,1,15/03/2022,15/04/2022,31,DRAWWORK,ZSF|POW,0.5
143,H13825364,H13825250,1,15/03/2022,15/04/2022,61,DIESEL,LEK|JSU|POW|NAJ,0.5
144,H13825366,H13825250,1,15/03/2022,15/04/2022,69,MUDPUMP,LEK|NAJ|POW,1.5
145,H13825368,H13825250,1,15/03/2022,15/04/2022,32,DIESEL,JSU|LEK,1.0
146,H13825370,H13825250,1,15/03/2022,15/04/2022,23,GENERATOR,POW|JSU|ZSF,0.5
147,H13825372,H13825250,1,15/03/2022,15/04/2022,21,GENERATOR,POW,0.5
148,H13825374,H13825250,1,15/03/2022,15/04/2022,11,DIESEL,ZSF|POW|JSU,1.0
149,H13825376,H13825250,1,15/03/2022,15/04/2022,12,DRAWWORK,LEK,2.0
150,H13825378,H13825250,1,15/03/2022,15/04/2022,62,MUDPUMP,POW|LEK|ZSF|JSU,1.5
151,H13825380,H13825250,1,15/03/2022,15/04/2022,63,DRILL,NAJ|ZSF|POW|JSU,0.5
152,H13825382,H13825250,1,15/03/2022,15/04/2022,13,GENERATOR,JSU|LEK|NAJ,2.0
153,H13825384,H13825250,1,15/03/2022,15/04/2022,53,MUDPUMP,LEK|JSU|POW,1.0
154,H13825386,H13825250,1,15/03/2022,15/04/2022,31,DRAWWORK,POW|ZSF|JSU|NAJ,2.0
155,H13825388,H13825250,1,15/03/2022,15/04/2022,2,DIESEL,NAJ|LEK|JSU|ZSF,1.5
156,H13825390,H13825250,1,15/03/2022,15/04/2022,10,DRILL,POW|NAJ|JSU|LEK,1.0
157,H13825392,H13825250,1,15/03/2022,15/04/2022,13,MUDPUMP,POW|NAJ|JSU,1.0
158,H13825394,H13825250,1,15/03/2022,15/04/2022,13,GENERATOR,POW|ZSF|NAJ|JSU,1.5
159,H13825396,H13825250,1,15/03/2022,15/04/2022,13,DIESEL,LEK|ZSF|POW|JSU,0.5
160,H13825398,H13825250,1,15/03/2022,15/04/2022,9,DRILL,JSU|NAJ,0.5
161,H13825400,H13825250,1,15/03/2022,15/04/2022,12,DIESEL,ZSF|POW|NAJ,1.0
162,H13825402,H13825250,1,15/03/2022,15/04/2022,40,DRAWWORK,LEK,1.0
163,H13825404,H13825250,1,15/03/2022,15/04/2022,20,GENERATOR,ZSF|JSU|POW|NAJ,2.0
164,H13825406,H13825250,1,15/03/2022,15/04/2022,42,DIESEL,ZSF|NAJ,1.5
165,H13825408,H13825250,1,15/03/2022,15/04/2022,10,DRILL,ZSF|JSU|LEK|NAJ,1.0
166,H13825410,H13825250,1,15/03/2022,15/04/2022,30,MUDPUMP,NAJ,1.0
167,H13825412,H13825250,1,15/03/2022,15/04/2022,29,DRAWWORK,ZSF|NAJ,1.5
168,H13825414,H13825250,1,15/03/2022,15/04/2022,19,DRILL,ZSF|POW,0.5
169,H13825416,H13825250,1,15/03/2022,15/04/2022,30,DRILL,ZSF|JSU|POW,0.5
170,H13825418,H13825250,1,15/03/2022,15/04/2022,11,DRAWWORK,JSU|POW|NAJ|LEK,1.0
171,H13825420,H13825250,1,15/03/2022,15/04/2022,42,MUDPUMP,JSU|POW,0.5
172,H13825422,H13825250,1,15/03/2022,15/04/2022,22,DIESEL,LEK|POW|ZSF|NAJ,1.0
173,H13825424,H13825250,1,15/03/2022,15/04/2022,23,DIESEL,POW|LEK|ZSF|NAJ,2.0
174,H13825426,H13825250,1,15/03/2022,15/04/2022,21,GENERATOR,POW|LEK|ZSF,2.0
175,H13825428,H13825250,1,15/03/2022,15/04/2022,10,DRILL,ZSF|NAJ|JSU|LEK,0.5
176,H13825430,H13825250,1,15/03/2022,15/04/2022,43,DRAWWORK,NAJ|POW|ZSF|LEK,1.0
177,H13825432,H13825250,1,15/03/2022,15/04/2022,21,GENERATOR,LEK|JSU|ZSF|POW,1.0
178,H13825434,H13825250,1,15/03/2022,15/04/2022,2,MUDPUMP,ZSF|POW,0.5
179,H13825436,H13825250,1,15/03/2022,15/04/2022,21,MUDPUMP,JSU,1.0
180,H13825438,H13825250,1,15/03/2022,15/04/2022,12,DRAWWORK,ZSF|LEK|JSU,1.5
181,H13825440,H13825250,1,15/03/2022,15/04/2022,31,DIESEL,LEK|POW|ZSF|NAJ,0.5
182,H13825442,H13825250,1,15/03/2022,15/04/2022,22,DRAWWORK,NAJ|POW,0.5
183,H13825444,H13825250,1,15/03/2022,15/04/2022,53,MUDPUMP,ZSF|POW|JSU|LEK,1.5
184,H13825446,H13825250,1,15/03/2022,15/04/2022,29,DIESEL,POW|NAJ|LEK|JSU,1.0
185,H13825448,H13825250,1,15/03/2022,15/04/2022,12,MUDPUMP,ZSF|LEK|POW|NAJ,0.5
186,H13825450,H13825250,1,15/03/2022,15/04/2022,2,MUDPUMP,JSU,0.5
187,H13825452,H13825250,1,15/03/2022,15/04/2022,42,MUDPUMP,POW|NAJ|ZSF,1.0
188,H13825454,H13825250,1,15/03/2022,15/04/2022,52,GENERATOR,ZSF|LEK|NAJ,2.0
189,H13825456,H13825250,1,15/03/2022,15/04/2022,58,DRAWWORK,NAJ|LEK|JSU|ZSF,1.5
190,H13825458,H13825250,1,15/03/2022,15/04/2022,31,GENERATOR,ZSF|LEK|NAJ|POW,0.5
191,H13825460,H13825250,1,15/03/2022,15/04/2022,51,DRILL,NAJ|ZSF|LEK,2.0
192,H13825462,H13825250,1,15/03/2022,15/04/2022,23,DRILL,LEK|NAJ|JSU|POW,0.5
193,H13825464,H13825250,1,15/03/2022,15/04/2022,11,DIESEL,POW|ZSF,1.0
194,H13825466,H13825250,1,15/03/2022,15/04/2022,19,GENERATOR,NAJ|ZSF|JSU|LEK,2.0
195,H13825468,H13825250,1,15/03/2022,15/04/2022,22,DRAWWORK,POW|NAJ|JSU,2.0
196,H13825470,H13825250,1,15/03/2022,15/04/2022,23,GENERATOR,JSU|NAJ,0.5
197,H13825472,H13825250,1,15/03/2022,15/04/2022,40,DRILL,LEK,1.0
198,H13825474,H13825250,1,15/03/2022,15/04/2022,32,DRAWWORK,LEK|NAJ,1.0
199,H13825476,H13825250,1,15/03/2022,15/04/2022,40,GENERATOR,LEK|JSU,0.5
200,H13825478,H13825250,1,1/4/2022,30/04/2022,52,DIESEL,ZSF,1.0
201,H13825480,H13825250,1,1/4/2022,30/04/2022,11,DIESEL,LEK|NAJ,2.0
202,H13825482,H13825250,1,1/4/2022,30/04/2022,30,DRILL,ZSF|POW,1.5
203,H13825484,H13825250,1,1/4/2022,30/04/2022,39,MUDPUMP,LEK|NAJ|POW|JSU,1.0
204,H13825486,H13825250,1,1/4/2022,30/04/2022,61,GENERATOR,ZSF|NAJ|JSU,1.0
205,H13825488,H13825250,1,1/4/2022,30/04/2022,9,DRILL,LEK|POW|NAJ,1.5
206,H13825490,H13825250,1,1/4/2022,30/04/2022,11,GENERATOR,NAJ|JSU|ZSF|LEK,0.5
207,H13825492,H13825250,1,1/4/2022,30/04/2022,11,DRILL,ZSF|NAJ,0.5
208,H13825494,H13825250,1,1/4/2022,30/04/2022,12,DRILL,NAJ|LEK|ZSF|JSU,1.0
209,H13825496,H13825250,1,1/4/2022,30/04/2022,12,DRILL,LEK,0.5
210,H13825498,H13825250,1,1/4/2022,30/04/2022,43,DRILL,POW,1.0
211,H13825500,H13825250,1,1/4/2022,30/04/2022,41,DRAWWORK,POW,2.0
212,H13825502,H13825250,1,1/4/2022,30/04/2022,21,DRILL,NAJ,2.0
213,H13825504,H13825250,1,1/4/2022,30/04/2022,42,DRAWWORK,NAJ,0.5
214,H13825506,H13825250,1,1/4/2022,30/04/2022,20,DRILL,ZSF,1.0
215,H13825508,H13825250,1,1/4/2022,30/04/2022,12,GENERATOR,LEK|POW|ZSF|JSU,1.0
216,H13825510,H13825250,1,1/4/2022,30/04/2022,9,DIESEL,LEK,0.5
217,H13825512,H13825250,1,1/4/2022,30/04/2022,21,DIESEL,POW,1.0
218,H13825514,H13825250,1,1/4/2022,30/04/2022,43,MUDPUMP,NAJ|POW,1.5
219,H13825516,H13825250,1,1/4/2022,30/04/2022,33,DRAWWORK,JSU|NAJ,0.5
220,H13825518,H13825250,1,1/4/2022,30/04/2022,9,DRILL,POW|LEK|NAJ,0.5
221,H13825520,H13825250,1,1/4/2022,30/04/2022,13,GENERATOR,NAJ|POW,1.5
222,H13825522,H13825250,1,1/4/2022,30/04/2022,11,DRAWWORK,ZSF|POW|NAJ,1.0
223,H13825524,H13825250,1,1/4/2022,30/04/2022,22,DIESEL,JSU|LEK|ZSF,0.5
224,H13825526,H13825250,1,1/4/2022,30/04/2022,22,MUDPUMP,JSU,0.5
225,H13825528,H13825250,1,1/4/2022,30/04/2022,21,GENERATOR,ZSF|LEK,1.0
226,H13825530,H13825250,1,1/4/2022,30/04/2022,8,DIESEL,JSU|NAJ,2.0
227,H13825532,H13825250,1,1/4/2022,30/04/2022,9,MUDPUMP,LEK|JSU|ZSF|POW,1.5
228,H13825534,H13825250,1,1/4/2022,30/04/2022,12,MUDPUMP,JSU|ZSF,0.5
229,H13825536,H13825250,1,1/4/2022,30/04/2022,10,GENERATOR,NAJ,2.0
230,H13825538,H13825250,1,1/4/2022,30/04/2022,43,DIESEL,ZSF|NAJ|LEK,0.5
231,H13825540,H13825250,1,1/4/2022,30/04/2022,10,DIESEL,LEK|NAJ|ZSF,1.0
232,H13825542,H13825250,1,1/4/2022,30/04/2022,28,MUDPUMP,JSU|ZSF|POW|LEK,2.0
233,H13825544,H13825250,1,1/4/2022,30/04/2022,38,MUDPUMP,LEK,2.0
234,H13825546,H13825250,1,1/4/2022,30/04/2022,9,DIESEL,LEK|JSU,0.5
235,H13825548,H13825250,1,1/4/2022,30/04/2022,48,MUDPUMP,JSU|POW,1.0
236,H13825550,H13825250,1,1/4/2022,30/04/2022,62,DRILL,LEK|JSU,1.0
237,H13825552,H13825250,1,1/4/2022,30/04/2022,13,MUDPUMP,JSU|ZSF,0.5
238,H13825554,H13825250,1,1/4/2022,30/04/2022,40,MUDPUMP,NAJ|POW|LEK,1.0
239,H13825556,H13825250,1,1/4/2022,30/04/2022,33,MUDPUMP,POW|JSU,1.5
240,H13825558,H13825250,1,1/4/2022,30/04/2022,2,MUDPUMP,JSU|POW|NAJ|ZSF,0.5
241,H13825560,H13825250,1,1/4/2022,30/04/2022,33,GENERATOR,ZSF|LEK|NAJ|JSU,0.5
242,H13825562,H13825250,1,1/4/2022,30/04/2022,21,MUDPUMP,ZSF|POW|NAJ,1.5
243,H13825564,H13825250,1,1/4/2022,30/04/2022,42,DRILL,NAJ|ZSF|POW|LEK,1.0
244,H13825566,H13825250,1,1/4/2022,30/04/2022,22,DRAWWORK,ZSF|NAJ|LEK,0.5
245,H13825568,H13825250,1,1/4/2022,30/04/2022,21,DRILL,JSU|ZSF,0.5
246,H13825570,H13825250,1,1/4/2022,30/04/2022,50,GENERATOR,JSU|ZSF,1.0
247,H13825572,H13825250,1,1/4/2022,30/04/2022,53,DRAWWORK,JSU|POW|LEK|ZSF,2.0
248,H13825574,H13825250,1,1/4/2022,30/04/2022,69,DRAWWORK,NAJ|ZSF,1.5
249,H13825576,H13825250,1,1/4/2022,30/04/2022,50,MUDPUMP,JSU,0.5
250,H13825578,H13825250,1,1/4/2022,30/04/2022,51,DRAWWORK,LEK|NAJ|POW,2.0
251,H13825580,H13825250,1,1/4/2022,30/04/2022,29,DRILL,LEK|ZSF|POW,1.0
252,H13825582,H13825250,1,1/4/2022,30/04/2022,42,DRILL,ZSF,2.0
253,H13825584,H13825250,1,1/4/2022,30/04/2022,11,DRAWWORK,ZSF|LEK|NAJ|JSU,1.5
254,H13825586,H13825250,1,1/4/2022,30/04/2022,3,DIESEL,ZSF|LEK|POW,1.0
255,H13825588,H13825250,1,1/4/2022,30/04/2022,42,DIESEL,NAJ,1.0
256,H13825590,H13825250,1,1/4/2022,30/04/2022,42,GENERATOR,NAJ,1.5
257,H13825592,H13825250,1,1/4/2022,30/04/2022,58,DRILL,LEK|JSU|ZSF|POW,0.5
258,H13825594,H13825250,1,1/4/2022,30/04/2022,11,DRAWWORK,POW|NAJ,0.5
259,H13825596,H13825250,1,1/4/2022,30/04/2022,31,DRILL,POW|LEK,1.0
260,H13825598,H13825250,1,1/4/2022,30/04/2022,21,DIESEL,POW|JSU,1.0
261,H13825600,H13825250,1,1/4/2022,30/04/2022,43,DRILL,NAJ|POW|JSU|ZSF,2.0
262,H13825602,H13825250,1,1/4/2022,30/04/2022,51,DRAWWORK,ZSF|LEK|JSU,1.5
263,H13825604,H13825250,1,1/4/2022,30/04/2022,10,DIESEL,POW|NAJ|JSU|ZSF,1.0
264,H13825606,H13825250,1,1/4/2022,30/04/2022,39,GENERATOR,LEK|POW|JSU,1.0
265,H13825608,H13825250,1,1/4/2022,30/04/2022,32,GENERATOR,ZSF|POW|LEK,1.5
266,H13825610,H13825250,1,1/4/2022,30/04/2022,19,DRAWWORK,ZSF,0.5
267,H13825612,H13825250,1,1/4/2022,30/04/2022,23,DIESEL,NAJ|JSU|ZSF|POW,0.5
268,H13825614,H13825250,1,1/4/2022,30/04/2022,3,DRILL,JSU,1.0
269,H13825616,H13825250,1,1/4/2022,30/04/2022,21,MUDPUMP,POW|NAJ,0.5
270,H13825618,H13825250,1,1/4/2022,30/04/2022,11,GENERATOR,LEK,1.0
